书名,作者,URL
寻羊冒险记（精装本）,[日]村上春树,https://book.douban.com/subject/1215559/
Kafka on the Shore,[日]村上春树,https://book.douban.com/subject/1847718/
國境之南。太陽之西,[日]村上春树,https://book.douban.com/subject/4906211/
1Q84 BOOK2〈7月‐9月〉後編,[日]村上春树,https://book.douban.com/subject/10808538/
1Q84 BOOK 2,[日]村上春树,https://book.douban.com/subject/3684290/
Norwegian Wood,HarukiMurakami,https://book.douban.com/subject/1355643/
挪威的森林,[日]村上春树,https://book.douban.com/subject/2377840/
挪威的森林,[日]村上春树,https://book.douban.com/subject/6079935/
台湾女诗人50家,古继堂,https://book.douban.com/subject/3119151/
雅克·勒高夫的法式新史學,鄭智鴻,https://book.douban.com/subject/4150896/
L'Eden cinéma,MargueriteDuras,https://book.douban.com/subject/5356126/
倉敷意匠日常計畫,有限會社倉敷意匠計畫室,https://book.douban.com/subject/34839598/
明清檔案文書,劉錚雲主編,https://book.douban.com/subject/20451945/
明代中日關係研究,鄭樑生,https://book.douban.com/subject/3243095/
神奇的32頁,賴嘉綾,https://book.douban.com/subject/35007061/
太陽不會動,[日]吉田修一,https://book.douban.com/subject/26136095/
倉敷意匠日常計畫,有限會社倉敷意匠計畫室,https://book.douban.com/subject/34839581/
帝國邊緣,黃金麟,https://book.douban.com/subject/6003723/
賢明時代,李渝,https://book.douban.com/subject/1336918/
晚明破與變,樊樹志,https://book.douban.com/subject/30145529/
鲁迅精神史探源,李冬木,https://book.douban.com/subject/33409153/
未竟的殖民,張素玢,https://book.douban.com/subject/27060660/
清末留日学生,黄福庆,https://book.douban.com/subject/10605670/
超越重力,史蒂文．洛,https://book.douban.com/subject/30350937/
超越重力,史蒂文．洛,https://book.douban.com/subject/30350934/
馬克思主義主要流派,LeszekKolakowski,https://book.douban.com/subject/27591846/
台湾における一党独裁体制の成立,松田康博,https://book.douban.com/subject/20400958/
寮國史,陳鴻瑜,https://book.douban.com/subject/27030838/
